confidence	id1	name1	by1	yt1	id2	name2	by2	yt2	coord	processing_action
medium	2012	39K湯原温泉国道313号	39K	-	2494	プチホテルゆばらリゾート足湯	プチホテルゆばらリゾート	-	(35.2, 133.73)	check_manually
high	452	3rdHOUSE稲村ケ崎西棟ルーフ稲村ケ崎ビュー	湘南ライブカメラ	T2dB77dObao	608	3rdHOUSE稲村ケ崎西棟ルーフ江ノ島ビュー	湘南ライブカメラ	_ddxDN0eMnA	(35.3, 139.52)	check_manually
high	792	805たんば福知山	たんばコミュニティネットワーク(805たんば)	3j6miXBKLjw	869	805たんば高谷山	たんばコミュニティネットワーク(805たんば)	u2gJXEAjdRc	(35.23, 135.14)	check_manually
medium	838	AAB秋田空港	秋田朝日放送(AAB)	ERpPxOLDlqI	1043	ABS秋田空港	秋田放送(ABS)	vMyKRCq3HMI	(39.61, 140.22)	check_manually
medium	168	ABC岸和田だんじり祭	朝日放送テレビ(ABCテレビニュース)	EoV-smCn-D4	362	朝日新聞岸和田だんじり祭	朝日新聞社(朝日新聞デジタル)	yVWxMvxfAs4	(34.42, 135.34)	check_manually
medium	110	AkibaTVファイバリオン	AkibaTV	cSSUj7ipCrg	393	アキバガジェット秋葉原駅前第1	アキバガジェット	99Hvm_d7qWY	(35.7, 139.77)	check_manually
medium	110	AkibaTVファイバリオン	AkibaTV	cSSUj7ipCrg	592	神田明神神田祭	神田明神	ZhcQ1QdQ49g	(35.7, 139.77)	check_manually
medium	110	AkibaTVファイバリオン	AkibaTV	cSSUj7ipCrg	1312	オノデンJR秋葉原駅電気街口方向	オノデンch	JGvyEjmTi0Y	(35.7, 139.77)	check_manually
medium	110	AkibaTVファイバリオン	AkibaTV	cSSUj7ipCrg	1415	アキバガジェット秋葉原駅前第2	アキバガジェット	-	(35.7, 139.77)	check_manually
high	1107	BANTV琵琶湖	BANTV	iBWy_HERzek	1321	BANTV琵琶湖リモート地蔵	BANTV	jyJ9W-nqbk8	(35.08, 135.79)	check_manually
high	1107	BANTV琵琶湖	BANTV	iBWy_HERzek	2392	BANTVゴールデンハムスター	BANTV	-	(35.08, 135.79)	check_manually
high	1321	BANTV琵琶湖リモート地蔵	BANTV	jyJ9W-nqbk8	2392	BANTVゴールデンハムスター	BANTV	-	(35.08, 135.79)	check_manually
high	372	Baycom大和川	ベイ・コミュニケーションズ	umKdv57mIn8	373	Baycom猪名川	ベイ・コミュニケーションズ	opSitozh4OY	(34.66, 135.09)	check_manually
medium	90	Bayshore東京東雲第1	Bayshore	32r2UY8gH-4	580	テイケイ東京ビッグサイト	テイケイ	4T-ARSiV53g	(35.64, 139.8)	check_manually
medium	127	BordercollieSarah伊吹山	Bordercollie Sarah(ふつおじ)	KNoinnSu6UM	422	伊吹山5合目	米原市役所	n996gl1UU6U	(35.42, 136.4)	check_manually
medium	127	BordercollieSarah伊吹山	Bordercollie Sarah(ふつおじ)	KNoinnSu6UM	1175	伊吹山3合目	米原市役所	KOaB6A5eWBo	(35.42, 136.4)	check_manually
high	1497	COCO志布志南側	COCO志布志	-	1498	COCO志布志西側	COCO志布志	-	(31.47, 131.1)	check_manually
high	240	CVK南アルプス市内	峡西CATV	R9HdMjbAa_w	241	CVK櫛形山	峡西CATV	1mRb_buPZ6E	(35.66, 138.26)	check_manually
medium	988	Crossing京都新聞スタジオ	agataJapan	ny4Bzk50SiM	1985	京都新聞社前烏丸通	京都新聞社	-	(35.01, 135.76)	check_manually
medium	988	Crossing京都新聞スタジオ	agataJapan	ny4Bzk50SiM	2279	京都新聞社烏丸御池交差点	京都新聞社	-	(35.01, 135.76)	check_manually
medium	988	Crossing京都新聞スタジオ	agataJapan	ny4Bzk50SiM	2448	薫習館烏丸通	香老舗松栄堂薫習館	-	(35.01, 135.76)	check_manually
medium	988	Crossing京都新聞スタジオ	agataJapan	ny4Bzk50SiM	2462	祇園祭山鉾巡行	KBS京都テレビ	-	(35.01, 135.76)	check_manually
